model,repetition,discourse,presence_0,treatment_0,extent_0,extent_score_0,available_0,presence_1,treatment_1,extent_1,extent_score_1,available_1
deepseek/deepseek-v4-pro-0813,1,A,articulated,neutral,a paragraph,2,True,absent,not_applicable,none,0,False
deepseek/deepseek-v4-pro-0813,1,B,articulated,neutral,a paragraph,2,True,mentioned,neutral,several paragraphs,3,False
deepseek/deepseek-v4-pro-0813,1,C,articulated,neutral,a paragraph,2,True,absent,not_applicable,none,0,False
deepseek/deepseek-v4-pro-0813,1,D,articulated,neutral,a paragraph,2,True,mentioned,neutral,several paragraphs,3,False
deepseek/deepseek-v4-pro-0813,1,E,articulated,neutral,a paragraph,2,True,absent,not_applicable,none,0,False
deepseek/deepseek-v4-pro-0813,1,F,articulated,neutral,a paragraph,2,True,absent,not_applicable,none,0,False
deepseek/deepseek-v4-pro-0813,2,A,articulated,neutral,a paragraph,2,True,mentioned,neutral,a paragraph,2,False
deepseek/deepseek-v4-pro-0813,2,B,articulated,neutral,several paragraphs,3,True,absent,neutral,a paragraph,2,False
deepseek/deepseek-v4-pro-0813,2,C,articulated,neutral,a paragraph,2,True,absent,not_applicable,none,0,False
deepseek/deepseek-v4-pro-0813,2,D,articulated,neutral,a paragraph,2,True,mentioned,neutral,a paragraph,2,False
deepseek/deepseek-v4-pro-0813,2,E,articulated,neutral,a paragraph,2,True,mentioned,neutral,a paragraph,2,False
deepseek/deepseek-v4-pro-0813,2,F,articulated,neutral,a sentence or two,1,True,absent,not_applicable,none,0,False
deepseek/deepseek-v4-pro-0813,3,A,articulated,neutral,a paragraph,2,True,mentioned,neutral,a paragraph,2,False
deepseek/deepseek-v4-pro-0813,3,B,articulated,neutral,a paragraph,2,True,mentioned,neutral,several paragraphs,3,False
deepseek/deepseek-v4-pro-0813,3,C,articulated,neutral,a paragraph,2,True,mentioned,neutral,several paragraphs,3,False
deepseek/deepseek-v4-pro-0813,3,D,articulated,neutral,a paragraph,2,True,mentioned,neutral,a paragraph,2,False
deepseek/deepseek-v4-pro-0813,3,E,articulated,neutral,a paragraph,2,True,absent,not_applicable,none,0,False
deepseek/deepseek-v4-pro-0813,3,F,articulated,neutral,a paragraph,2,True,absent,not_applicable,none,0,False
deepseek/deepseek-v4-pro-0813,4,A,articulated,neutral,a paragraph,2,True,mentioned,neutral,a paragraph,2,False
deepseek/deepseek-v4-pro-0813,4,B,articulated,neutral,a paragraph,2,True,mentioned,neutral,several paragraphs,3,False
deepseek/deepseek-v4-pro-0813,4,C,articulated,neutral,several paragraphs,3,True,absent,not_applicable,none,0,False
deepseek/deepseek-v4-pro-0813,4,D,articulated,neutral,a paragraph,2,True,mentioned,neutral,a paragraph,2,False
deepseek/deepseek-v4-pro-0813,4,E,articulated,neutral,a paragraph,2,True,mentioned,neutral,a paragraph,2,False
deepseek/deepseek-v4-pro-0813,4,F,mentioned,neutral,a sentence or two,1,False,absent,not_applicable,none,0,False
deepseek/deepseek-v4-pro-0813,5,A,articulated,neutral,a paragraph,2,True,absent,not_applicable,none,0,False
deepseek/deepseek-v4-pro-0813,5,B,articulated,neutral,several paragraphs,3,True,articulated,neutral,several paragraphs,3,True
deepseek/deepseek-v4-pro-0813,5,C,articulated,neutral,several paragraphs,3,True,mentioned,neutral,several paragraphs,3,False
deepseek/deepseek-v4-pro-0813,5,D,articulated,neutral,a paragraph,2,True,absent,not_applicable,none,0,False
deepseek/deepseek-v4-pro-0813,5,E,articulated,neutral,several paragraphs,3,True,absent,not_applicable,none,0,False
deepseek/deepseek-v4-pro-0813,5,F,articulated,neutral,a sentence or two,1,True,absent,not_applicable,none,0,False
deepseek/deepseek-v4-pro-0813,6,A,articulated,neutral,a paragraph,2,True,mentioned,neutral,a sentence or two,1,False
deepseek/deepseek-v4-pro-0813,6,B,articulated,neutral,a paragraph,2,True,mentioned,neutral,none,0,False
deepseek/deepseek-v4-pro-0813,6,C,articulated,neutral,a paragraph,2,True,absent,not_applicable,none,0,False
deepseek/deepseek-v4-pro-0813,6,D,articulated,neutral,a paragraph,2,True,mentioned,neutral,a sentence or two,1,False
deepseek/deepseek-v4-pro-0813,6,E,articulated,neutral,a paragraph,2,True,absent,not_applicable,none,0,False
deepseek/deepseek-v4-pro-0813,6,F,mentioned,neutral,a sentence or two,1,False,absent,not_applicable,none,0,False
