model,run_id,n_paragraphs,A,B,C,D,E,F,tvd
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep01,9,0.0,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.0,0.3333333333333333
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep02,11,0.0,0.36363636363636365,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.0,0.4090909090909091
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep03,13,0.0,0.23076923076923078,0.46153846153846156,0.23076923076923078,0.0,0.07692307692307693,0.42307692307692313
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep04,9,0.0,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.0,0.0,0.49999999999999994
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep05,10,0.0,0.2,0.4,0.1,0.3,0.0,0.39999999999999997
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep06,11,0.0,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.0,0.0,0.5
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep07,11,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.0,0.0,0.40909090909090906
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep08,11,0.0,0.18181818181818182,0.5454545454545454,0.18181818181818182,0.09090909090909091,0.0,0.409090909090909
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep09,10,0.0,0.4,0.3,0.2,0.1,0.0,0.39999999999999997
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep10,11,0.0,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.0,0.0,0.5
moonshotai/kimi-k3,moonshotai__kimi-k3__rep01,8,0.0,0.375,0.375,0.25,0.0,0.0,0.5
moonshotai/kimi-k3,moonshotai__kimi-k3__rep02,10,0.0,0.3,0.5,0.1,0.0,0.1,0.4666666666666666
moonshotai/kimi-k3,moonshotai__kimi-k3__rep03,11,0.0,0.36363636363636365,0.45454545454545453,0.18181818181818182,0.0,0.0,0.49999999999999994
moonshotai/kimi-k3,moonshotai__kimi-k3__rep04,11,0.0,0.18181818181818182,0.5454545454545454,0.09090909090909091,0.0,0.18181818181818182,0.409090909090909
moonshotai/kimi-k3,moonshotai__kimi-k3__rep05,10,0.0,0.3,0.4,0.1,0.1,0.1,0.36666666666666664
moonshotai/kimi-k3,moonshotai__kimi-k3__rep06,10,0.0,0.3,0.4,0.2,0.0,0.1,0.39999999999999997
moonshotai/kimi-k3,moonshotai__kimi-k3__rep07,10,0.0,0.3,0.5,0.2,0.0,0.0,0.49999999999999994
moonshotai/kimi-k3,moonshotai__kimi-k3__rep08,11,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.0,0.39393939393939387
moonshotai/kimi-k3,moonshotai__kimi-k3__rep09,11,0.0,0.2727272727272727,0.45454545454545453,0.18181818181818182,0.0,0.09090909090909091,0.40909090909090906
moonshotai/kimi-k3,moonshotai__kimi-k3__rep10,10,0.0,0.3,0.4,0.2,0.0,0.1,0.39999999999999997
z-ai/glm-5.2,z-ai__glm-5.2__rep01,8,0.0,0.625,0.125,0.25,0.0,0.0,0.5416666666666666
z-ai/glm-5.2,z-ai__glm-5.2__rep02,8,0.0,0.5,0.25,0.25,0.0,0.0,0.5
z-ai/glm-5.2,z-ai__glm-5.2__rep03,10,0.1,0.3,0.2,0.4,0.0,0.0,0.39999999999999997
z-ai/glm-5.2,z-ai__glm-5.2__rep04,10,0.1,0.4,0.1,0.4,0.0,0.0,0.4666666666666667
z-ai/glm-5.2,z-ai__glm-5.2__rep05,8,0.0,0.625,0.0,0.375,0.0,0.0,0.6666666666666667
z-ai/glm-5.2,z-ai__glm-5.2__rep06,8,0.0,0.25,0.5,0.125,0.125,0.0,0.41666666666666663
z-ai/glm-5.2,z-ai__glm-5.2__rep07,9,0.0,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.0,0.0,0.5
z-ai/glm-5.2,z-ai__glm-5.2__rep08,10,0.0,0.4,0.2,0.4,0.0,0.0,0.5
z-ai/glm-5.2,z-ai__glm-5.2__rep09,10,0.0,0.5,0.1,0.4,0.0,0.0,0.5666666666666667
z-ai/glm-5.2,z-ai__glm-5.2__rep10,8,0.0,0.25,0.5,0.25,0.0,0.0,0.5
