model,run_id,n_sentences,n_A,share_A,present_A,n_B,share_B,present_B,n_C,share_C,present_C,coverage,tvd,evenness
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep01,49,9,0.21951219512195122,True,27,0.6585365853658537,True,5,0.12195121951219512,True,3,0.26963658536585366,0.7869495122738667
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep02,55,14,0.2978723404255319,True,26,0.5531914893617021,True,7,0.14893617021276595,True,3,0.16429148936170213,0.8846412396022731
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep03,63,16,0.3018867924528302,True,23,0.4339622641509434,True,14,0.2641509433962264,True,3,0.11481320754716982,0.9789516793378691
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep04,63,20,0.3508771929824561,True,25,0.43859649122807015,True,12,0.21052631578947367,True,3,0.06582280701754385,0.9621148999686878
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep05,58,14,0.28,True,29,0.58,True,7,0.14,True,3,0.19109999999999994,0.862568133135322
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep06,59,18,0.3829787234042553,True,21,0.44680851063829785,True,8,0.1702127659574468,True,3,0.057908510638297855,0.9365730693714156
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep07,59,20,0.4166666666666667,True,21,0.4375,True,7,0.14583333333333334,True,3,0.04859999999999998,0.9168130656663156
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep08,64,19,0.3392857142857143,True,31,0.5535714285714286,True,6,0.10714285714285714,True,3,0.16467142857142858,0.8496301987672706
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep09,55,13,0.2826086956521739,True,25,0.5434782608695652,True,8,0.17391304347826086,True,3,0.15457826086956522,0.9036248473639537
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep10,69,21,0.3684210526315789,True,26,0.45614035087719296,True,10,0.17543859649122806,True,3,0.06724035087719298,0.938705603554547
moonshotai/kimi-k3,moonshotai__kimi-k3__rep01,49,18,0.47368421052631576,True,13,0.34210526315789475,True,7,0.18421052631578946,True,3,0.056984210526315776,0.9398428348819775
moonshotai/kimi-k3,moonshotai__kimi-k3__rep02,49,13,0.3611111111111111,True,18,0.5,True,5,0.1388888888888889,True,3,0.11109999999999999,0.8998336482256323
moonshotai/kimi-k3,moonshotai__kimi-k3__rep03,53,12,0.2926829268292683,True,16,0.3902439024390244,True,13,0.3170731707317073,True,3,0.12401707317073173,0.9930890619361853
moonshotai/kimi-k3,moonshotai__kimi-k3__rep04,54,16,0.3902439024390244,True,12,0.2926829268292683,True,13,0.3170731707317073,True,3,0.12267317073170735,0.9930890619361853
moonshotai/kimi-k3,moonshotai__kimi-k3__rep05,49,11,0.2972972972972973,True,16,0.43243243243243246,True,10,0.2702702702702703,True,3,0.11940270270270271,0.9801024066898231
moonshotai/kimi-k3,moonshotai__kimi-k3__rep06,48,15,0.39473684210526316,True,15,0.39473684210526316,True,8,0.21052631578947367,True,3,0.021963157894736837,0.9665599363111802
moonshotai/kimi-k3,moonshotai__kimi-k3__rep07,56,19,0.38,True,22,0.44,True,9,0.18,True,3,0.05109999999999999,0.9444433679188271
moonshotai/kimi-k3,moonshotai__kimi-k3__rep08,46,13,0.37142857142857144,True,17,0.4857142857142857,True,5,0.14285714285714285,True,3,0.0968142857142857,0.9071450398650762
moonshotai/kimi-k3,moonshotai__kimi-k3__rep09,53,10,0.24390243902439024,True,18,0.43902439024390244,True,13,0.3170731707317073,True,3,0.17279756097560978,0.973724427963214
moonshotai/kimi-k3,moonshotai__kimi-k3__rep10,54,7,0.1794871794871795,True,23,0.5897435897435898,True,9,0.23076923076923078,True,3,0.23721282051282055,0.8721059210436596
z-ai/glm-5.2,z-ai__glm-5.2__rep01,58,12,0.2857142857142857,True,22,0.5238095238095238,True,8,0.19047619047619047,True,3,0.1349095238095238,0.9216124027287591
z-ai/glm-5.2,z-ai__glm-5.2__rep02,47,14,0.4,True,17,0.4857142857142857,True,4,0.11428571428571428,True,3,0.09681428571428569,0.8785258481480466
z-ai/glm-5.2,z-ai__glm-5.2__rep03,57,18,0.3829787234042553,True,20,0.425531914893617,True,9,0.19148936170212766,True,3,0.036631914893617015,0.9536320536456285
z-ai/glm-5.2,z-ai__glm-5.2__rep04,55,19,0.40425531914893614,True,24,0.5106382978723404,True,4,0.0851063829787234,True,3,0.12173829787234042,0.8365316815202104
z-ai/glm-5.2,z-ai__glm-5.2__rep05,45,6,0.1875,True,19,0.59375,True,7,0.21875,True,3,0.22920000000000001,0.8700544525060424
z-ai/glm-5.2,z-ai__glm-5.2__rep06,42,12,0.35294117647058826,True,17,0.5,True,5,0.14705882352941177,True,3,0.11109999999999998,0.9066400772320163
z-ai/glm-5.2,z-ai__glm-5.2__rep07,52,13,0.325,True,24,0.6,True,3,0.075,True,3,0.21109999999999998,0.7883060311750184
z-ai/glm-5.2,z-ai__glm-5.2__rep08,51,9,0.23684210526315788,True,25,0.6578947368421053,True,4,0.10526315789473684,True,3,0.2689947368421053,0.7769653479634111
z-ai/glm-5.2,z-ai__glm-5.2__rep09,50,18,0.43902439024390244,True,16,0.3902439024390244,True,7,0.17073170731707318,True,3,0.023668292682926806,0.9379232090202121
z-ai/glm-5.2,z-ai__glm-5.2__rep10,48,7,0.23333333333333334,True,21,0.7,True,2,0.06666666666666667,True,3,0.31109999999999993,0.7006804581672933
