model,repetition,discourse,presence,treatment,extent,replicates,presence_agreement,treatment_agreement,quote_verified,quote_match,parse_failures,presence_score,extent_score,available,present_any
deepseek/deepseek-v4-pro-0813,1,A,mentioned,neutral,none,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,1,0,False,True
deepseek/deepseek-v4-pro-0813,1,B,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
deepseek/deepseek-v4-pro-0813,1,C,absent,not_applicable,none,3,1.0,1.0,0.0,0.0,0,0,0,False,False
deepseek/deepseek-v4-pro-0813,2,A,absent,not_applicable,none,3,1.0,1.0,0.0,0.0,0,0,0,False,False
deepseek/deepseek-v4-pro-0813,2,B,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
deepseek/deepseek-v4-pro-0813,2,C,mentioned,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,1,2,False,True
deepseek/deepseek-v4-pro-0813,3,A,absent,not_applicable,none,3,1.0,1.0,0.0,0.0,0,0,0,False,False
deepseek/deepseek-v4-pro-0813,3,B,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
deepseek/deepseek-v4-pro-0813,3,C,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
deepseek/deepseek-v4-pro-0813,4,A,absent,neutral,a paragraph,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,2,False,False
deepseek/deepseek-v4-pro-0813,4,B,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
deepseek/deepseek-v4-pro-0813,4,C,mentioned,neutral,a sentence or two,3,1.0,1.0,1.0,1.0,0,1,1,False,True
deepseek/deepseek-v4-pro-0813,5,A,absent,not_applicable,none,3,1.0,1.0,0.0,0.0,0,0,0,False,False
deepseek/deepseek-v4-pro-0813,5,B,articulated,neutral,several paragraphs,3,1.0,1.0,0.6666666666666666,0.7736666666666667,0,2,3,True,True
deepseek/deepseek-v4-pro-0813,5,C,absent,neutral,several paragraphs,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,3,False,False
deepseek/deepseek-v4-pro-0813,6,A,mentioned,neutral,several paragraphs,3,0.6666666666666666,1.0,1.0,1.0,0,1,3,False,True
deepseek/deepseek-v4-pro-0813,6,B,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
deepseek/deepseek-v4-pro-0813,6,C,absent,neutral,several paragraphs,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,3,False,False
deepseek/deepseek-v4-pro-0813,7,A,mentioned,neutral,a sentence or two,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,1,1,False,True
deepseek/deepseek-v4-pro-0813,7,B,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
