Category,Code,Australia %,Recruitment Sample n,Recruitment Sample %,Sampling Quota Min,Sampling Quota Target,Sampling Quota Max,Australian Citizens' Jury n
No sig' loading,0,53%,63,28%,4,4,8,5
Confounded Loading,1,12%,27,12%,0,4,6,3
A Moderate Loading (>0.5),2,11%,32,14%,2,2,6,3
B Moderate Loading (>0.5),3,12%,22,10%,2,2,6,1
C Moderate Loading (>0.5),4,6%,9,4%,2,2,6,3
D Moderate Loading (>0.5),5,0%,1,>1%,2,2,6,0
A High Loading (>0.7),6,4%,47,21%,1,2,4,2
B High Loading (>0.7),7,2%,21,9%,1,2,4,3
C High Loading (>0.7),8,1%,4,2%,1,2,3,2
D High Loading (>0.7),9,0%,2,1%,1,2,3,1
