model,run_id,n_sentences,n_A,share_A,present_A,n_B,share_B,present_B,n_C,share_C,present_C,n_D,share_D,present_D,n_E,share_E,present_E,n_F,share_F,present_F,coverage,tvd,evenness
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep01,49,1,0.023255813953488372,False,6,0.13953488372093023,True,18,0.4186046511627907,True,12,0.27906976744186046,True,4,0.09302325581395349,True,2,0.046511627906976744,True,5,0.3643410852713178,0.8073654920162608
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep02,55,2,0.045454545454545456,True,10,0.22727272727272727,True,19,0.4318181818181818,True,12,0.2727272727272727,True,1,0.022727272727272728,False,0,0.0,False,4,0.43181818181818177,0.7144954844554532
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep03,63,5,0.08771929824561403,True,6,0.10526315789473684,True,30,0.5263157894736842,True,11,0.19298245614035087,True,4,0.07017543859649122,True,1,0.017543859649122806,False,5,0.38596491228070173,0.7607755660650908
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep04,63,2,0.03773584905660377,True,8,0.1509433962264151,True,23,0.4339622641509434,True,15,0.2830188679245283,True,3,0.05660377358490566,True,2,0.03773584905660377,True,6,0.38364779874213834,0.7896148461411893
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep05,58,2,0.04081632653061224,True,10,0.20408163265306123,True,24,0.4897959183673469,True,11,0.22448979591836735,True,0,0.0,False,2,0.04081632653061224,True,5,0.41836734693877553,0.7090353011310501
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep06,59,5,0.09615384615384616,True,8,0.15384615384615385,True,17,0.3269230769230769,True,13,0.25,True,5,0.09615384615384616,True,4,0.07692307692307693,True,6,0.24358974358974356,0.9196011973309243
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep07,59,4,0.07547169811320754,True,6,0.11320754716981132,True,21,0.39622641509433965,True,16,0.3018867924528302,True,3,0.05660377358490566,True,3,0.05660377358490566,True,6,0.36477987421383645,0.8344456525943044
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep08,64,2,0.034482758620689655,True,12,0.20689655172413793,True,28,0.4827586206896552,True,11,0.1896551724137931,True,3,0.05172413793103448,True,2,0.034482758620689655,True,6,0.3793103448275862,0.7692286241848975
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep09,55,3,0.061224489795918366,True,8,0.16326530612244897,True,25,0.5102040816326531,True,7,0.14285714285714285,True,4,0.08163265306122448,True,2,0.04081632653061224,True,6,0.34353741496598644,0.7943746520038124
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep10,69,10,0.15625,True,11,0.171875,True,19,0.296875,True,14,0.21875,True,5,0.078125,True,5,0.078125,True,6,0.1875,0.939895758821622
