run_id,model,repetition,paragraph_index,n_words,text,sim_A,sim_B,sim_C,sim_D,sim_E,sim_F,top_discourse,top_similarity,runner_up_margin,assigned,assigned_centred
deepseek__deepseek-v4-pro-0813__rep01,deepseek/deepseek-v4-pro-0813,1,0,125,"Human genome editing refers to a set of technologies, most notably CRISPR-Cas9, that allow scientists to make precise changes to the DNA of living cells. In the context of human health, a crucial distinction is often drawn between somatic editing, which alters non-reproductive cells in a patient’s body and affects only that individual, and germline or heritable editing, which changes the DNA of embryos, eggs, sperm or the cells that give rise to them, so that the alteration can be passed on to future generations. This distinction shapes much of the ethical and regulatory debate, because somatic editing is generally seen as an extension of existing gene therapy, while germline editing raises deeper questions about inheritance, consent and the future of the human gene pool.",0.7005669,0.74012417,0.74927574,0.74960136,0.7371138,0.70398784,D,0.74960136,0.00032562017,D,D
deepseek__deepseek-v4-pro-0813__rep01,deepseek/deepseek-v4-pro-0813,1,1,154,"For many people, the primary hope of human genome editing is medical. Families affected by serious inherited conditions such as cystic fibrosis, Huntington’s disease, Tay-Sachs disease, sickle cell anaemia or certain forms of inherited cancer see in these tools the possibility of correcting the underlying genetic cause rather than merely managing symptoms. Somatic gene editing trials are already underway for blood disorders, some forms of blindness and certain cancers, and early results have generated cautious optimism. Parents who carry a known genetic mutation may hope that germline editing could allow them to have a biologically related child without passing on that condition. Researchers and clinicians often frame this work in terms of compassion, the relief of suffering, and the moral duty to use knowledge to prevent serious disease. From this perspective, refusing to develop safe and effective editing technologies could be seen as withholding a potentially life-changing therapy from people who desperately need it.",0.75458753,0.77366847,0.7948444,0.7945702,0.7492465,0.74706286,C,0.7948444,0.00027418137,C,D
deepseek__deepseek-v4-pro-0813__rep01,deepseek/deepseek-v4-pro-0813,1,2,139,"Yet alongside these hopes sit significant concerns about safety and unintended consequences. Genome editing is not always perfectly precise; it can cause off-target changes elsewhere in the genome, and in embryos there is a risk of mosaicism, where some cells carry the edit and others do not. For germline editing, any mistake would not only affect the individual born from that embryo but could be inherited by their children and grandchildren. Because the effects may not become apparent for decades, some scientists and ethicists argue that heritable editing should not proceed until there is far stronger evidence of safety and long-term outcomes. This precautionary stance values humility in the face of complex biological systems and warns against irreversible interventions made under uncertainty. Even proponents of somatic editing often support a moratorium or strict limits on germline editing for reproduction.",0.73206466,0.76495284,0.7635164,0.73607624,0.7682788,0.72819257,E,0.7682788,0.0033259392,E,E
deepseek__deepseek-v4-pro-0813__rep01,deepseek/deepseek-v4-pro-0813,1,3,174,"A further set of perspectives comes from people with disabilities and their advocates. Many worry that the drive to edit out genes associated with disability sends a powerful message that disabled lives are less valuable or less worth living. Conditions such as deafness, achondroplasia or Down syndrome are sometimes experienced by individuals and communities not simply as medical problems but as part of their identity, culture or community. From this viewpoint, the problem is not the genetic difference itself but a society that fails to accommodate and include people with diverse bodies and minds. There is concern that widespread genetic editing could revive eugenic thinking, pressuring parents to select or engineer children who fit narrow norms of health and ability. The value of inclusion, the dignity of every person, and the right of disabled people to flourish are central to this critique. Others respond that parents can both love their existing disabled child and still wish to prevent future children from experiencing pain or premature death, and that not all genetic conditions are identity-forming.",0.6563445,0.6962265,0.7160992,0.70126307,0.6951352,0.6832048,C,0.7160992,0.0148361325,C,C
deepseek__deepseek-v4-pro-0813__rep01,deepseek/deepseek-v4-pro-0813,1,4,144,"Equity and justice are also prominent themes. If genome editing becomes available as a medical service, it is likely to be expensive, at least initially. In Australia, although Medicare and the public hospital system provide many services, assisted reproductive technologies and genetic testing are often only partially subsidised, and access can depend on income, location and private health insurance. There is a real risk that the benefits of editing would flow disproportionately to the wealthy, widening existing health inequalities. Globally, the picture is even starker: some countries may permit heritable editing while others prohibit it, leading to cross-border reproductive travel and uneven safety standards. A just approach, many argue, would require not only strict regulation but also attention to fair access, public funding for therapies that address serious diseases, and measures to prevent discrimination against people who are unedited or who carry genetic differences.",0.7025056,0.7712567,0.73275834,0.72674257,0.7282099,0.7383511,B,0.7712567,0.03290558,B,B
deepseek__deepseek-v4-pro-0813__rep01,deepseek/deepseek-v4-pro-0813,1,5,115,"Beyond therapy lies the contested territory of enhancement. The same tools that might correct a disease-causing mutation could in principle be used to alter non-medical traits such as height, muscle mass, cognitive ability or appearance. Some people see no sharp line between treating disease and enhancing human capacities; they argue that parents already shape their children’s development through education, nutrition and other choices, and that genetic enhancement could be a legitimate expression of reproductive freedom or a way to improve human wellbeing. Others fear that enhancement would commodify children, intensify social competition, and erode acceptance of human limitations and diversity. The distinction between therapy and enhancement is often blurry, and this ambiguity makes regulation difficult.",0.6855901,0.6699873,0.6872755,0.70564055,0.6593486,0.67319256,D,0.70564055,0.018365026,D,A
deepseek__deepseek-v4-pro-0813__rep01,deepseek/deepseek-v4-pro-0813,1,6,123,"The question of consent and future generations is especially acute for heritable editing. An embryo cannot consent to having its genome altered, and the people who will be born from edited embryos will have had no say in a decision that shapes their genetic inheritance. Some philosophers argue that this makes germline editing inherently unethical, because it violates the autonomy of future persons. Others reply that parents routinely make irreversible decisions for their children, and that preventing a serious genetic disease is clearly in a child’s best interests. Still, the intergenerational dimension raises profound questions about our responsibility to future humans and whether we should treat the human genome as a common heritage to be preserved or as a resource to be improved.",0.720352,0.7607764,0.7750297,0.75037044,0.7890569,0.7477988,E,0.7890569,0.014027178,E,E
deepseek__deepseek-v4-pro-0813__rep01,deepseek/deepseek-v4-pro-0813,1,7,117,"Religious, cultural and Indigenous perspectives add further layers. Some religious traditions regard the human genome as sacred or as a gift from God, and view deliberate alteration of the germline as overstepping human authority. Others emphasise the calling to heal the sick and may support somatic editing while opposing heritable changes. In Australia, Aboriginal and Torres Strait Islander peoples have distinct understandings of kinship, ancestry and the connection between genetic inheritance and Country, and any discussion of genome editing should be attentive to these worldviews and to the history of eugenic policies that have harmed Indigenous communities. A pluralist democracy must make room for these diverse moral languages rather than assuming a single secular or utilitarian framework.",0.7105953,0.7461092,0.77143615,0.754852,0.7592179,0.71972144,C,0.77143615,0.012218237,C,E
deepseek__deepseek-v4-pro-0813__rep01,deepseek/deepseek-v4-pro-0813,1,8,137,"Finally, the regulatory landscape is itself a subject of debate. In Australia, human cloning and certain practices involving human embryos are prohibited under federal legislation, and the National Health and Medical Research Council issues guidelines for research. Heritable genome editing for reproduction is currently not permitted. Some argue these laws are appropriately cautious and should remain; others believe they are outdated and hinder valuable research that could be done on embryos in the laboratory without intending pregnancy. International bodies such as the World Health Organization have called for robust governance and a global registry of editing research, but enforcement remains uneven. The citizens’ assembly will need to weigh the values of scientific freedom, therapeutic benefit, safety, justice, respect for diversity and the precautionary principle as it considers what, if anything, should change in Australian law and policy.",0.695231,0.7487152,0.734683,0.70865196,0.70826864,0.698407,B,0.7487152,0.014032245,B,B
deepseek__deepseek-v4-pro-0813__rep02,deepseek/deepseek-v4-pro-0813,2,0,61,"Human genome editing raises questions that touch on medicine, ethics, justice, disability, faith and the kind of society Australians want to build. This report is intended to help assembly participants see the broad landscape of views before deliberation begins. It does not argue for a particular outcome, but rather maps the hopes, concerns and values that people bring to this conversation.",0.7514579,0.7927935,0.79035705,0.76886123,0.77817786,0.7184762,B,0.7927935,0.002436459,B,B
deepseek__deepseek-v4-pro-0813__rep02,deepseek/deepseek-v4-pro-0813,2,1,131,"At its simplest, human genome editing means making precise changes to the DNA inside living human cells. A crucial distinction is between somatic editing, which affects only the person being treated, and germline editing, which changes the DNA of eggs, sperm or early embryos and can be passed on to future generations. Somatic editing is already being developed for conditions such as sickle cell disease, some cancers and inherited blindness, and is generally treated as a form of medicine. Germline editing is not clinically available in Australia, and heritable genetic changes for reproduction are prohibited. This distinction shapes much of the debate: many people are more willing to consider somatic therapies because they resemble existing treatments, while germline editing raises additional questions about inheritance, consent and the long-term direction of humanity.",0.6878386,0.7331779,0.7363757,0.74948364,0.733698,0.7108484,D,0.74948364,0.013107955,D,D
deepseek__deepseek-v4-pro-0813__rep02,deepseek/deepseek-v4-pro-0813,2,2,114,"The hopes associated with genome editing are often focused on the relief of serious suffering. For families affected by genetic conditions such as cystic fibrosis, Huntington disease or muscular dystrophy, the ability to correct a single faulty gene could be life-changing. Somatic therapies might treat disease in a living child or adult, while germline editing might allow parents who carry a serious genetic condition to have a biologically related child without passing that condition on. From this perspective, compassion and the desire to reduce suffering support careful development of the technology. Researchers and patient advocates often emphasise that editing is not about creating perfect people, but about preventing devastating illness and expanding reproductive choices.",0.7446109,0.7398739,0.7598019,0.78961915,0.7346139,0.73468137,D,0.78961915,0.029817224,D,D
deepseek__deepseek-v4-pro-0813__rep02,deepseek/deepseek-v4-pro-0813,2,3,112,"Safety concerns remain central. Genome editing tools, particularly CRISPR-based systems, can sometimes change the wrong part of the genome, producing off-target effects that could cause cancer or other harm. In germline editing, such changes would affect not just one person but all subsequent generations, and mistakes would be extremely difficult to reverse. Because the human genome is complex and knowledge is incomplete, some argue that any clinical use of germline editing would be reckless. Others accept that somatic editing can proceed through careful clinical trials, but draw a firm line at heritable changes until safety can be better understood, even if that evidence is difficult to obtain without crossing the line first.",0.6992784,0.7531661,0.7589393,0.7120261,0.73261976,0.6988369,C,0.7589393,0.0057732463,C,C
deepseek__deepseek-v4-pro-0813__rep02,deepseek/deepseek-v4-pro-0813,2,4,98,"A related concern involves consent and future generations. A person born after germline editing could not consent to having their genome altered. Some see this as fundamentally unjust, since we would be making irreversible choices about another human being’s genetic makeup without their agreement. Others reply that parents already make many decisions for future children, from nutrition to education, and that preventing a serious inherited disease is likely to be in the child’s interests. Still, germline editing raises the stakes because the decision reverberates through family lines and could shape the genetic inheritance of people not yet imagined.",0.7161877,0.7607824,0.7731584,0.74745834,0.7837933,0.74617374,E,0.7837933,0.010634899,E,E
deepseek__deepseek-v4-pro-0813__rep02,deepseek/deepseek-v4-pro-0813,2,5,118,"Disability communities and advocates offer important cautionary perspectives. Many people with genetic conditions argue that a push to edit out certain genes can send a harmful message that their lives are less valuable, or that they should not exist. They point out that disability is often shaped by social barriers rather than biology alone, and that society should invest in inclusion and support instead of seeking to eliminate difference. At the same time, some individuals and families affected by severe genetic disorders distinguish between respecting disabled people and wanting to avoid real pain and early death. This is not a single view; it is a conversation about identity, stigma and what kinds of lives count as worth living.",0.67785704,0.71952355,0.72929007,0.70904875,0.7063908,0.68121153,C,0.72929007,0.009766519,C,C
