model,run_id,n_sentences,n_A,share_A,present_A,n_B,share_B,present_B,n_C,share_C,present_C,n_D,share_D,present_D,n_E,share_E,present_E,n_F,share_F,present_F,coverage,tvd,evenness
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep01,49,1,0.023255813953488372,False,6,0.13953488372093023,True,18,0.4186046511627907,True,12,0.27906976744186046,True,4,0.09302325581395349,True,2,0.046511627906976744,True,5,0.3643410852713178,0.8073654920162608
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep02,55,3,0.06521739130434782,True,11,0.2391304347826087,True,19,0.41304347826086957,True,12,0.2608695652173913,True,1,0.021739130434782608,False,0,0.0,False,4,0.4130434782608695,0.7362401135071839
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep03,63,5,0.08771929824561403,True,6,0.10526315789473684,True,30,0.5263157894736842,True,11,0.19298245614035087,True,4,0.07017543859649122,True,1,0.017543859649122806,False,5,0.38596491228070173,0.7607755660650908
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep04,63,2,0.037037037037037035,True,8,0.14814814814814814,True,24,0.4444444444444444,True,15,0.2777777777777778,True,3,0.05555555555555555,True,2,0.037037037037037035,True,6,0.3888888888888889,0.783495703213096
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep05,58,2,0.041666666666666664,True,10,0.20833333333333334,True,23,0.4791666666666667,True,11,0.22916666666666666,True,0,0.0,False,2,0.041666666666666664,True,5,0.4166666666666667,0.7153814793143116
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep06,59,5,0.09433962264150944,True,8,0.1509433962264151,True,18,0.33962264150943394,True,13,0.24528301886792453,True,5,0.09433962264150944,True,4,0.07547169811320754,True,6,0.2515723270440251,0.9138203201645128
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep07,59,4,0.07692307692307693,True,6,0.11538461538461539,True,21,0.40384615384615385,True,15,0.28846153846153844,True,3,0.057692307692307696,True,3,0.057692307692307696,True,6,0.3589743589743589,0.8373971389318523
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep08,64,2,0.034482758620689655,True,12,0.20689655172413793,True,28,0.4827586206896552,True,11,0.1896551724137931,True,3,0.05172413793103448,True,2,0.034482758620689655,True,6,0.3793103448275862,0.7692286241848975
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep09,55,3,0.0625,True,8,0.16666666666666666,True,25,0.5208333333333334,True,7,0.14583333333333334,True,4,0.08333333333333333,True,1,0.020833333333333332,False,5,0.35416666666666663,0.7702837670680017
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep10,69,10,0.15384615384615385,True,12,0.18461538461538463,True,19,0.2923076923076923,True,14,0.2153846153846154,True,5,0.07692307692307693,True,5,0.07692307692307693,True,6,0.19230769230769235,0.9402439879592944
