statement_id,item_original,item_depersonalised,transformation,A,B,C,D
1,Mitochondrial donation doesn't fundamentally change our genetics should be viewed like any other organ transplant.,Mitochondrial donation doesn't fundamentally change our genetics and should be viewed like any other organ transplant.,repaired,0.62,-0.61,1.35,-0.31
2,It's a slippery slope from genome editing for medical reasons to using it for other reasons.,It's a slippery slope from genome editing for medical reasons to using it for other reasons.,unchanged,-0.05,0.86,1.35,-1.26
3,Parents and guardians have a right to edit the genes of their children before they are born.,Parents and guardians have a right to edit the genes of their children before they are born.,unchanged,0.36,-1.84,-0.8,-0.88
4,Parents want 'designer babies' with certain traits out of vanity.,Parents want 'designer babies' with certain traits out of vanity.,unchanged,-0.09,-0.14,-1.16,1.2
5,I'm concerned that genome editing will lead to a reduction in genetic diversity.,Genome editing will lead to a reduction in genetic diversity.,stripped,-0.74,0.89,0.63,-1.17
6,I think it would be amazing to have a choice in the way someone behaves.,Being able to choose the way someone behaves would be a good thing.,recast,-0.7,-1.51,-1.16,-0.31
7,The idea that gene editing can make perfect people and societies is extremely dangerous.,The idea that gene editing can make perfect people and societies is extremely dangerous.,unchanged,0.25,1.24,-0.09,-1.36
8,I think it's okay to use genome editing to change someone's appearance.,It is acceptable to use genome editing to change someone's appearance.,stripped,-0.66,-1.91,-1.52,0.35
9,I'm concerned that gene editing will be used as a quick techno-fix without actually dealing with real problems.,Gene editing will be used as a quick techno-fix without actually dealing with real problems.,stripped,-0.7,0.57,0.63,-0.13
10,"My concern is that as we start to tinker with the genome, we're going to accidentally introduce a whole host of other problems.","As we start to tinker with the genome, we are going to accidentally introduce a whole host of other problems.",stripped,0.28,1.47,0.27,1.29
11,"If this technology is available then it should be available to everyone who needs it, not just those who can afford it.","If this technology is available then it should be available to everyone who needs it, not just those who can afford it.",unchanged,1.77,1.39,0.27,-0.6
12,I'm worried that genetic technology will widen the gap between those who can afford it and those who can't,Genetic technology will widen the gap between those who can afford it and those who can't.,stripped,0.3,1.27,0.63,-0.13
13,If we open the box of genome editing we will not know where to draw the line.,If we open the box of genome editing we will not know where to draw the line.,unchanged,-0.57,0.81,-0.45,0.54
14,I am concerned that the use of genome editing will advantage one group over another.,The use of genome editing will advantage one group over another.,stripped,0.05,1.25,0.99,-0.13
15,Decisions about the use of genome editing are best left to the experts.,Decisions about the use of genome editing are best left to the experts.,unchanged,1.23,0.39,-1.52,0.63
16,"If genome editing works, the future will be like a dystopian movie.","If genome editing works, the future will be like a dystopian movie.",unchanged,-1.47,-0.19,-0.45,-0.69
17,Genome editing is really cool science.,Genome editing is really cool science.,unchanged,0.8,0.12,1.35,1.29
18,The real aim of genome editing will be enhancement for wealthy people.,The real aim of genome editing will be enhancement for wealthy people.,unchanged,-1.26,-0.12,-1.52,-1.26
19,I have a very different feeling about gene editing in humans than I do for animals or plants,Gene editing in humans is fundamentally different from gene editing in animals or plants.,recast,-0.28,-0.32,-0.45,0.25
20,Editing genes that will be inherited is problematic because it means making decisions for future people who don't exist yet.,Editing genes that will be inherited is problematic because it means making decisions for future people who don't exist yet.,unchanged,-0.6,0.77,-0.45,-0.6
21,My cultural beliefs make me cautious about genome editing.,Cultural beliefs are a reason to be cautious about genome editing.,recast,-1.81,-1.5,1.35,0.16
22,When you change someone's genes you are fundamentally changing who they are.,When you change someone's genes you are fundamentally changing who they are.,unchanged,-1.17,0.87,0.63,0.54
23,Genome editing in agriculture will have the biggest impact on people's health.,Genome editing in agriculture will have the biggest impact on people's health.,unchanged,0.37,-0.33,-0.45,0.73
24,Anything that's been artificially created in a lab gives me Frankenstein vibes.,Anything that has been artificially created in a lab is unnatural and unsettling.,recast,-1.78,-0.92,-0.8,-0.79
25,I worry that something will go terribly wrong with this technology.,Something will go terribly wrong with this technology.,stripped,-0.8,1.32,0.99,-1.36
26,It's better to prevent a disease from happening rather than it happening and then having to treat it.,It's better to prevent a disease from happening rather than it happening and then having to treat it.,unchanged,1.85,0.93,1.71,1.48
27,The idea that people with genetic conditions might get cured in my lifetime is miraculous and incredible!,It would be miraculous and incredible if people with genetic conditions were cured within our lifetimes.,stripped,1.66,1.27,0.63,0.63
28,Genome editing technologies gives us power over human life itself.,Genome editing technologies give us power over human life itself.,repaired,-0.56,-0.04,0.27,-1.17
29,It makes me sick to hear that genome editing will 'cure' disability.,It is offensive to speak of genome editing as a 'cure' for disability.,recast,-1.27,-1.08,-1.88,-0.79
30,I would be OK with using genome editing to speed up evolution.,It is acceptable to use genome editing to speed up evolution.,stripped,-0.27,-2.01,-0.8,-2.02
31,"As a society, we have an obligation to help strengthen coming generations by eradicating diseases.","As a society, we have an obligation to help strengthen coming generations by eradicating diseases.",unchanged,1.42,-0.84,-0.09,0.44
