model,repetition,discourse,presence,treatment,extent,replicates,presence_agreement,treatment_agreement,quote_verified,quote_match,parse_failures,presence_score,extent_score,available,present_any
deepseek/deepseek-v4-pro-0813,1,A,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,1,B,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,1,C,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,1,D,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,1,E,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,1,F,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,2,A,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,2,B,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
deepseek/deepseek-v4-pro-0813,2,C,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,2,D,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,2,E,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,2,F,articulated,neutral,a sentence or two,3,1.0,1.0,1.0,1.0,0,2,1,True,True
deepseek/deepseek-v4-pro-0813,3,A,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,3,B,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,3,C,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,3,D,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,3,E,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,3,F,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,4,A,articulated,neutral,a paragraph,3,1.0,1.0,0.3333333333333333,0.3333333333333333,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,4,B,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,4,C,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
deepseek/deepseek-v4-pro-0813,4,D,articulated,neutral,a paragraph,3,1.0,1.0,0.3333333333333333,0.3333333333333333,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,4,E,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,4,F,mentioned,neutral,a sentence or two,3,1.0,1.0,1.0,1.0,0,1,1,False,True
deepseek/deepseek-v4-pro-0813,5,A,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,5,B,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
deepseek/deepseek-v4-pro-0813,5,C,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
deepseek/deepseek-v4-pro-0813,5,D,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,5,E,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
deepseek/deepseek-v4-pro-0813,5,F,articulated,neutral,a sentence or two,3,1.0,1.0,1.0,1.0,0,2,1,True,True
deepseek/deepseek-v4-pro-0813,6,A,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,6,B,articulated,neutral,a paragraph,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,2,2,True,True
deepseek/deepseek-v4-pro-0813,6,C,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,6,D,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,6,E,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,6,F,mentioned,neutral,a sentence or two,3,1.0,1.0,1.0,1.0,0,1,1,False,True
deepseek/deepseek-v4-pro-0813,7,A,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,7,B,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
deepseek/deepseek-v4-pro-0813,7,C,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
deepseek/deepseek-v4-pro-0813,7,D,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
deepseek/deepseek-v4-pro-0813,7,E,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
deepseek/deepseek-v4-pro-0813,7,F,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
deepseek/deepseek-v4-pro-0813,8,A,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,8,B,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,8,C,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,8,D,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,8,E,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
deepseek/deepseek-v4-pro-0813,8,F,articulated,neutral,a sentence or two,3,0.6666666666666666,1.0,1.0,1.0,0,2,1,True,True
deepseek/deepseek-v4-pro-0813,9,A,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,9,B,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,9,C,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,9,D,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,9,E,articulated,neutral,a paragraph,3,0.6666666666666666,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,9,F,mentioned,neutral,a sentence or two,3,0.6666666666666666,1.0,1.0,1.0,0,1,1,False,True
deepseek/deepseek-v4-pro-0813,10,A,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,10,B,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
deepseek/deepseek-v4-pro-0813,10,C,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
deepseek/deepseek-v4-pro-0813,10,D,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,10,E,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
deepseek/deepseek-v4-pro-0813,10,F,mentioned,neutral,a sentence or two,3,0.6666666666666666,1.0,1.0,1.0,0,1,1,False,True
moonshotai/kimi-k3,1,A,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,1,B,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,1,C,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,1,D,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,1,E,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,1,F,articulated,neutral,a paragraph,3,0.6666666666666666,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,2,A,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
moonshotai/kimi-k3,2,B,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
moonshotai/kimi-k3,2,C,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,2,D,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
moonshotai/kimi-k3,2,E,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,2,F,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
moonshotai/kimi-k3,3,A,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,3,B,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,3,C,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,3,D,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
moonshotai/kimi-k3,3,E,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
moonshotai/kimi-k3,3,F,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
moonshotai/kimi-k3,4,A,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
moonshotai/kimi-k3,4,B,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,4,C,articulated,neutral,a paragraph,3,1.0,1.0,1.0,1.0,0,2,2,True,True
moonshotai/kimi-k3,4,D,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
moonshotai/kimi-k3,4,E,articulated,neutral,several paragraphs,3,1.0,1.0,1.0,1.0,0,2,3,True,True
