model,run_id,n_paragraphs,A,B,C,tvd
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep01,9,0.1111111111111111,0.8888888888888888,0.0,0.49998888888888887
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep02,11,0.36363636363636365,0.5454545454545454,0.09090909090909091,0.15655454545454542
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep03,13,0.23076923076923078,0.5384615384615384,0.23076923076923078,0.18593076923076923
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep04,9,0.1111111111111111,0.5555555555555556,0.3333333333333333,0.3055888888888889
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep05,10,0.0,0.7,0.3,0.4167
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep06,11,0.36363636363636365,0.6363636363636364,0.0,0.24746363636363633
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep07,11,0.36363636363636365,0.5454545454545454,0.09090909090909091,0.15655454545454542
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep08,11,0.2727272727272727,0.7272727272727273,0.0,0.33837272727272727
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep09,10,0.2,0.6,0.2,0.2167
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep10,11,0.36363636363636365,0.45454545454545453,0.18181818181818182,0.06564545454545452
moonshotai/kimi-k3,moonshotai__kimi-k3__rep01,8,0.25,0.375,0.375,0.18060000000000004
moonshotai/kimi-k3,moonshotai__kimi-k3__rep02,10,0.4,0.4,0.2,0.016700000000000007
moonshotai/kimi-k3,moonshotai__kimi-k3__rep03,11,0.36363636363636365,0.45454545454545453,0.18181818181818182,0.06564545454545452
moonshotai/kimi-k3,moonshotai__kimi-k3__rep04,11,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.16923636363636368
moonshotai/kimi-k3,moonshotai__kimi-k3__rep05,10,0.4,0.5,0.1,0.11109999999999998
moonshotai/kimi-k3,moonshotai__kimi-k3__rep06,10,0.4,0.5,0.1,0.11109999999999998
moonshotai/kimi-k3,moonshotai__kimi-k3__rep07,10,0.2,0.4,0.4,0.2167
moonshotai/kimi-k3,moonshotai__kimi-k3__rep08,11,0.45454545454545453,0.36363636363636365,0.18181818181818182,0.03784545454545453
moonshotai/kimi-k3,moonshotai__kimi-k3__rep09,11,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.16923636363636368
moonshotai/kimi-k3,moonshotai__kimi-k3__rep10,10,0.2,0.7,0.1,0.31109999999999993
z-ai/glm-5.2,z-ai__glm-5.2__rep01,8,0.125,0.875,0.0,0.48610000000000003
z-ai/glm-5.2,z-ai__glm-5.2__rep02,8,0.375,0.625,0.0,0.23609999999999998
z-ai/glm-5.2,z-ai__glm-5.2__rep03,10,0.4,0.5,0.1,0.11109999999999998
z-ai/glm-5.2,z-ai__glm-5.2__rep04,10,0.2,0.8,0.0,0.4111
z-ai/glm-5.2,z-ai__glm-5.2__rep05,8,0.25,0.75,0.0,0.36110000000000003
z-ai/glm-5.2,z-ai__glm-5.2__rep06,8,0.125,0.875,0.0,0.48610000000000003
z-ai/glm-5.2,z-ai__glm-5.2__rep07,9,0.1111111111111111,0.8888888888888888,0.0,0.49998888888888887
z-ai/glm-5.2,z-ai__glm-5.2__rep08,10,0.1,0.9,0.0,0.5111
z-ai/glm-5.2,z-ai__glm-5.2__rep09,10,0.2,0.8,0.0,0.4111
z-ai/glm-5.2,z-ai__glm-5.2__rep10,8,0.125,0.875,0.0,0.48610000000000003
