model,run_id,n_sentences,n_A,share_A,present_A,n_B,share_B,present_B,n_C,share_C,present_C,coverage,tvd,evenness
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep01,49,12,0.2727272727272727,True,27,0.6136363636363636,True,5,0.11363636363636363,True,3,0.22473636363636365,0.8202637164846753
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep02,55,17,0.3333333333333333,True,26,0.5098039215686274,True,8,0.1568627450980392,True,3,0.12090392156862743,0.9104612196600345
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep03,63,19,0.3333333333333333,True,23,0.40350877192982454,True,15,0.2631578947368421,True,3,0.08336666666666666,0.9864511885260897
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep04,63,23,0.3898305084745763,True,24,0.4067796610169492,True,12,0.2033898305084746,True,3,0.02686949152542374,0.962171776305321
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep05,58,14,0.28,True,29,0.58,True,7,0.14,True,3,0.19109999999999994,0.862568133135322
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep06,59,22,0.43137254901960786,True,21,0.4117647058823529,True,8,0.1568627450980392,True,3,0.03753725490196076,0.9271887693028021
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep07,59,24,0.43636363636363634,True,21,0.38181818181818183,True,10,0.18181818181818182,True,3,0.01966363636363634,0.9461392460451806
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep08,64,23,0.39655172413793105,True,30,0.5172413793103449,True,5,0.08620689655172414,True,3,0.12834137931034484,0.8365760241842337
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep09,55,15,0.3125,True,25,0.5208333333333334,True,8,0.16666666666666666,True,3,0.13193333333333335,0.9119358281945744
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep10,69,24,0.3870967741935484,True,26,0.41935483870967744,True,12,0.1935483870967742,True,3,0.030454838709677426,0.9554524262799171
moonshotai/kimi-k3,moonshotai__kimi-k3__rep01,49,21,0.5121951219512195,True,13,0.3170731707317073,True,7,0.17073170731707318,True,3,0.09549512195121951,0.9181376799305374
moonshotai/kimi-k3,moonshotai__kimi-k3__rep02,49,16,0.41025641025641024,True,18,0.46153846153846156,True,5,0.1282051282051282,True,3,0.07263846153846155,0.8972532272561479
moonshotai/kimi-k3,moonshotai__kimi-k3__rep03,53,14,0.3181818181818182,True,16,0.36363636363636365,True,14,0.3181818181818182,True,3,0.1237818181818182,0.9981459752167369
moonshotai/kimi-k3,moonshotai__kimi-k3__rep04,54,23,0.46,True,13,0.26,True,14,0.28,True,3,0.12890000000000001,0.9683787372870547
moonshotai/kimi-k3,moonshotai__kimi-k3__rep05,49,13,0.3333333333333333,True,16,0.41025641025641024,True,10,0.2564102564102564,True,3,0.08336666666666666,0.9836953470468073
moonshotai/kimi-k3,moonshotai__kimi-k3__rep06,48,18,0.43902439024390244,True,15,0.36585365853658536,True,8,0.1951219512195122,True,3,0.023046341463414652,0.9540523206353181
moonshotai/kimi-k3,moonshotai__kimi-k3__rep07,56,18,0.36,True,22,0.44,True,10,0.2,True,3,0.056700000000000014,0.9565826682888481
moonshotai/kimi-k3,moonshotai__kimi-k3__rep08,46,17,0.4358974358974359,True,17,0.4358974358974359,True,5,0.1282051282051282,True,3,0.06619487179487178,0.8986269299569754
moonshotai/kimi-k3,moonshotai__kimi-k3__rep09,53,14,0.3181818181818182,True,17,0.38636363636363635,True,13,0.29545454545454547,True,3,0.1010545454545455,0.9939930847604564
moonshotai/kimi-k3,moonshotai__kimi-k3__rep10,54,14,0.30434782608695654,True,22,0.4782608695652174,True,10,0.21739130434782608,True,3,0.11235217391304347,0.9526230661652663
z-ai/glm-5.2,z-ai__glm-5.2__rep01,58,20,0.40816326530612246,True,22,0.4489795918367347,True,7,0.14285714285714285,True,3,0.06007959183673468,0.9132159711781526
z-ai/glm-5.2,z-ai__glm-5.2__rep02,47,18,0.43902439024390244,True,18,0.43902439024390244,True,5,0.12195121951219512,True,3,0.07244878048780486,0.8914989969428307
z-ai/glm-5.2,z-ai__glm-5.2__rep03,57,19,0.3958333333333333,True,20,0.4166666666666667,True,9,0.1875,True,3,0.027766666666666676,0.951648308392122
z-ai/glm-5.2,z-ai__glm-5.2__rep04,55,23,0.45098039215686275,True,24,0.47058823529411764,True,4,0.0784313725490196,True,3,0.11596862745098037,0.8314994451170202
z-ai/glm-5.2,z-ai__glm-5.2__rep05,45,9,0.2571428571428571,True,18,0.5142857142857142,True,8,0.22857142857142856,True,3,0.15955714285714284,0.9362444227364574
z-ai/glm-5.2,z-ai__glm-5.2__rep06,42,13,0.3611111111111111,True,17,0.4722222222222222,True,6,0.16666666666666666,True,3,0.08332222222222221,0.929130646911285
z-ai/glm-5.2,z-ai__glm-5.2__rep07,52,19,0.4222222222222222,True,24,0.5333333333333333,True,2,0.044444444444444446,True,3,0.1499555555555555,0.7624949631630609
z-ai/glm-5.2,z-ai__glm-5.2__rep08,51,16,0.35555555555555557,True,24,0.5333333333333333,True,5,0.1111111111111111,True,3,0.1444333333333333,0.8620554298444195
z-ai/glm-5.2,z-ai__glm-5.2__rep09,50,22,0.4782608695652174,True,16,0.34782608695652173,True,8,0.17391304347826086,True,3,0.061560869565217405,0.9323544458797425
z-ai/glm-5.2,z-ai__glm-5.2__rep10,48,16,0.41025641025641024,True,21,0.5384615384615384,True,2,0.05128205128205128,True,3,0.14956153846153844,0.7747820715726373
