model,run_id,n_sentences,n_A,share_A,present_A,n_B,share_B,present_B,n_C,share_C,present_C,coverage,tvd,evenness
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep01,49,9,0.21951219512195122,True,27,0.6585365853658537,True,5,0.12195121951219512,True,3,0.26963658536585366,0.7869495122738667
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep02,55,15,0.3125,True,26,0.5416666666666666,True,7,0.14583333333333334,True,3,0.15276666666666663,0.8887161360764678
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep03,63,16,0.3018867924528302,True,23,0.4339622641509434,True,14,0.2641509433962264,True,3,0.11481320754716982,0.9789516793378691
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep04,63,19,0.3392857142857143,True,25,0.44642857142857145,True,12,0.21428571428571427,True,3,0.07741428571428571,0.9620022340312863
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep05,58,14,0.28,True,29,0.58,True,7,0.14,True,3,0.19109999999999994,0.862568133135322
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep06,59,20,0.40816326530612246,True,21,0.42857142857142855,True,8,0.16326530612244897,True,3,0.03967142857142855,0.9327917151530141
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep07,59,19,0.40425531914893614,True,21,0.44680851063829785,True,7,0.14893617021276595,True,3,0.05790851063829787,0.9190754115031203
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep08,64,19,0.3392857142857143,True,31,0.5535714285714286,True,6,0.10714285714285714,True,3,0.16467142857142858,0.8496301987672706
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep09,55,13,0.28888888888888886,True,25,0.5555555555555556,True,7,0.15555555555555556,True,3,0.16665555555555556,0.8872244088696465
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep10,69,22,0.3793103448275862,True,26,0.4482758620689655,True,10,0.1724137931034483,True,3,0.059375862068965515,0.9379607148064744
moonshotai/kimi-k3,moonshotai__kimi-k3__rep01,49,18,0.47368421052631576,True,13,0.34210526315789475,True,7,0.18421052631578946,True,3,0.056984210526315776,0.9398428348819775
moonshotai/kimi-k3,moonshotai__kimi-k3__rep02,49,13,0.3611111111111111,True,18,0.5,True,5,0.1388888888888889,True,3,0.11109999999999999,0.8998336482256323
moonshotai/kimi-k3,moonshotai__kimi-k3__rep03,53,12,0.2926829268292683,True,16,0.3902439024390244,True,13,0.3170731707317073,True,3,0.12401707317073173,0.9930890619361853
moonshotai/kimi-k3,moonshotai__kimi-k3__rep04,54,16,0.38095238095238093,True,13,0.30952380952380953,True,13,0.30952380952380953,True,3,0.11512380952380956,0.9954554138075014
moonshotai/kimi-k3,moonshotai__kimi-k3__rep05,49,11,0.2972972972972973,True,16,0.43243243243243246,True,10,0.2702702702702703,True,3,0.11940270270270271,0.9801024066898231
moonshotai/kimi-k3,moonshotai__kimi-k3__rep06,48,15,0.39473684210526316,True,15,0.39473684210526316,True,8,0.21052631578947367,True,3,0.021963157894736837,0.9665599363111802
moonshotai/kimi-k3,moonshotai__kimi-k3__rep07,56,18,0.3673469387755102,True,22,0.4489795918367347,True,9,0.1836734693877551,True,3,0.06007959183673467,0.945432935199797
moonshotai/kimi-k3,moonshotai__kimi-k3__rep08,46,15,0.40540540540540543,True,17,0.4594594594594595,True,5,0.13513513513513514,True,3,0.07055945945945945,0.9046152604311873
moonshotai/kimi-k3,moonshotai__kimi-k3__rep09,53,10,0.24390243902439024,True,18,0.43902439024390244,True,13,0.3170731707317073,True,3,0.17279756097560978,0.973724427963214
moonshotai/kimi-k3,moonshotai__kimi-k3__rep10,54,7,0.1794871794871795,True,23,0.5897435897435898,True,9,0.23076923076923078,True,3,0.23721282051282055,0.8721059210436596
z-ai/glm-5.2,z-ai__glm-5.2__rep01,58,14,0.32558139534883723,True,22,0.5116279069767442,True,7,0.16279069767441862,True,3,0.12272790697674417,0.913636691215508
z-ai/glm-5.2,z-ai__glm-5.2__rep02,47,15,0.40540540540540543,True,18,0.4864864864864865,True,4,0.10810810810810811,True,3,0.09758648648648648,0.8711565227148458
z-ai/glm-5.2,z-ai__glm-5.2__rep03,57,18,0.391304347826087,True,20,0.43478260869565216,True,8,0.17391304347826086,True,3,0.04588260869565215,0.940725014049597
z-ai/glm-5.2,z-ai__glm-5.2__rep04,55,19,0.40425531914893614,True,24,0.5106382978723404,True,4,0.0851063829787234,True,3,0.12173829787234042,0.8365316815202104
z-ai/glm-5.2,z-ai__glm-5.2__rep05,45,6,0.1875,True,19,0.59375,True,7,0.21875,True,3,0.22920000000000001,0.8700544525060424
z-ai/glm-5.2,z-ai__glm-5.2__rep06,42,11,0.3333333333333333,True,17,0.5151515151515151,True,5,0.15151515151515152,True,3,0.12625151515151514,0.9046146409944782
z-ai/glm-5.2,z-ai__glm-5.2__rep07,52,14,0.35,True,24,0.6,True,2,0.05,True,3,0.21109999999999998,0.7497820113685953
z-ai/glm-5.2,z-ai__glm-5.2__rep08,51,9,0.24324324324324326,True,25,0.6756756756756757,True,3,0.08108108108108109,True,3,0.28677567567567563,0.7395376137345875
z-ai/glm-5.2,z-ai__glm-5.2__rep09,50,18,0.43902439024390244,True,16,0.3902439024390244,True,7,0.17073170731707318,True,3,0.023668292682926806,0.9379232090202121
