model,run_id,n_sentences,n_A,share_A,present_A,n_B,share_B,present_B,n_C,share_C,present_C,n_D,share_D,present_D,n_E,share_E,present_E,n_F,share_F,present_F,coverage,tvd,evenness
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep01,49,2,0.046511627906976744,True,6,0.13953488372093023,True,17,0.3953488372093023,True,12,0.27906976744186046,True,4,0.09302325581395349,True,2,0.046511627906976744,True,6,0.34108527131782945,0.8394993010169933
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep02,55,4,0.08,True,11,0.22,True,19,0.38,True,12,0.24,True,4,0.08,True,0,0.0,False,5,0.34,0.807817435576074
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep03,63,5,0.08196721311475409,True,8,0.13114754098360656,True,30,0.4918032786885246,True,11,0.18032786885245902,True,5,0.08196721311475409,True,2,0.03278688524590164,True,6,0.3387978142076503,0.8072871712787387
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep04,63,4,0.06779661016949153,True,11,0.1864406779661017,True,24,0.4067796610169492,True,14,0.23728813559322035,True,5,0.0847457627118644,True,1,0.01694915254237288,False,5,0.3305084745762712,0.8266223753310917
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep05,58,3,0.05660377358490566,True,12,0.22641509433962265,True,24,0.4528301886792453,True,11,0.20754716981132076,True,1,0.018867924528301886,False,2,0.03773584905660377,True,5,0.3867924528301887,0.7716071114072941
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep06,59,7,0.1320754716981132,True,9,0.16981132075471697,True,18,0.33962264150943394,True,10,0.18867924528301888,True,5,0.09433962264150944,True,4,0.07547169811320754,True,6,0.1981132075471698,0.930719703259227
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep07,59,4,0.08,True,7,0.14,True,21,0.42,True,14,0.28,True,1,0.02,False,3,0.06,True,5,0.3666666666666667,0.8065478916303565
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep08,64,3,0.05084745762711865,True,12,0.2033898305084746,True,27,0.4576271186440678,True,11,0.1864406779661017,True,4,0.06779661016949153,True,2,0.03389830508474576,True,6,0.34745762711864414,0.8056097722548683
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep09,55,3,0.061224489795918366,True,9,0.1836734693877551,True,25,0.5102040816326531,True,6,0.12244897959183673,True,4,0.08163265306122448,True,2,0.04081632653061224,True,6,0.3605442176870749,0.7913144444806
deepseek/deepseek-v4-pro-0813,deepseek__deepseek-v4-pro-0813__rep10,69,11,0.16666666666666666,True,12,0.18181818181818182,True,20,0.30303030303030304,True,13,0.19696969696969696,True,5,0.07575757575757576,True,5,0.07575757575757576,True,6,0.18181818181818182,0.9383710058326896
moonshotai/kimi-k3,moonshotai__kimi-k3__rep01,49,4,0.08888888888888889,True,4,0.08888888888888889,True,19,0.4222222222222222,True,12,0.26666666666666666,True,4,0.08888888888888889,True,2,0.044444444444444446,True,6,0.3555555555555555,0.837349061423777
moonshotai/kimi-k3,moonshotai__kimi-k3__rep02,49,2,0.046511627906976744,True,8,0.18604651162790697,True,17,0.3953488372093023,True,11,0.2558139534883721,True,1,0.023255813953488372,False,4,0.09302325581395349,True,5,0.3372093023255814,0.8257847141214373
moonshotai/kimi-k3,moonshotai__kimi-k3__rep03,53,3,0.06382978723404255,True,5,0.10638297872340426,True,23,0.48936170212765956,True,11,0.23404255319148937,True,0,0.0,False,5,0.10638297872340426,True,5,0.3900709219858156,0.7489785985668889
moonshotai/kimi-k3,moonshotai__kimi-k3__rep04,54,4,0.07692307692307693,True,6,0.11538461538461539,True,20,0.38461538461538464,True,17,0.3269230769230769,True,0,0.0,False,5,0.09615384615384616,True,5,0.3782051282051282,0.7839573601623556
moonshotai/kimi-k3,moonshotai__kimi-k3__rep05,49,0,0.0,False,6,0.13636363636363635,True,17,0.38636363636363635,True,12,0.2727272727272727,True,4,0.09090909090909091,True,5,0.11363636363636363,True,5,0.3257575757575757,0.8140539879955797
moonshotai/kimi-k3,moonshotai__kimi-k3__rep06,48,1,0.023809523809523808,False,9,0.21428571428571427,True,20,0.47619047619047616,True,8,0.19047619047619047,True,1,0.023809523809523808,False,3,0.07142857142857142,True,4,0.380952380952381,0.7622341147596959
moonshotai/kimi-k3,moonshotai__kimi-k3__rep07,56,2,0.0392156862745098,True,6,0.11764705882352941,True,22,0.43137254901960786,True,12,0.23529411764705882,True,4,0.0784313725490196,True,5,0.09803921568627451,True,6,0.33333333333333337,0.8423320231510776
moonshotai/kimi-k3,moonshotai__kimi-k3__rep08,46,5,0.11363636363636363,True,8,0.18181818181818182,True,15,0.3409090909090909,True,11,0.25,True,4,0.09090909090909091,True,1,0.022727272727272728,False,5,0.2727272727272727,0.878755881183282
moonshotai/kimi-k3,moonshotai__kimi-k3__rep09,53,1,0.0196078431372549,False,8,0.1568627450980392,True,22,0.43137254901960786,True,12,0.23529411764705882,True,3,0.058823529411764705,True,5,0.09803921568627451,True,5,0.3333333333333333,0.8177167117867646
moonshotai/kimi-k3,moonshotai__kimi-k3__rep10,54,2,0.0425531914893617,True,5,0.10638297872340426,True,18,0.3829787234042553,True,15,0.3191489361702128,True,4,0.0851063829787234,True,3,0.06382978723404255,True,6,0.36879432624113473,0.8316441403907048
z-ai/glm-5.2,z-ai__glm-5.2__rep01,58,7,0.12727272727272726,True,13,0.23636363636363636,True,16,0.2909090909090909,True,13,0.23636363636363636,True,4,0.07272727272727272,True,2,0.03636363636363636,True,6,0.26363636363636367,0.9010988260831556
z-ai/glm-5.2,z-ai__glm-5.2__rep02,47,4,0.09090909090909091,True,8,0.18181818181818182,True,16,0.36363636363636365,True,15,0.3409090909090909,True,1,0.022727272727272728,False,0,0.0,False,4,0.38636363636363635,0.752706824584929
z-ai/glm-5.2,z-ai__glm-5.2__rep03,57,6,0.11538461538461539,True,7,0.1346153846153846,True,15,0.28846153846153844,True,18,0.34615384615384615,True,4,0.07692307692307693,True,2,0.038461538461538464,True,6,0.30128205128205127,0.8748795038442319
z-ai/glm-5.2,z-ai__glm-5.2__rep04,55,7,0.1320754716981132,True,10,0.18867924528301888,True,15,0.2830188679245283,True,16,0.3018867924528302,True,2,0.03773584905660377,True,3,0.05660377358490566,True,6,0.27358490566037735,0.8857525831297093
z-ai/glm-5.2,z-ai__glm-5.2__rep05,45,3,0.075,True,6,0.15,True,11,0.275,True,17,0.425,True,3,0.075,True,0,0.0,False,5,0.36666666666666664,0.7767710136817038
z-ai/glm-5.2,z-ai__glm-5.2__rep06,42,1,0.02631578947368421,False,9,0.23684210526315788,True,14,0.3684210526315789,True,8,0.21052631578947367,True,5,0.13157894736842105,True,1,0.02631578947368421,False,4,0.3157894736842105,0.8345770168381398
