run_id,model,repetition,paragraph_index,sentence_index,n_words,context,anaphoric,text,airtime_A,airtime_B,airtime_C,airtime_D,airtime_E,airtime_F,align_A,align_B,align_C,align_D,align_E,align_F,airtime_discourse,align_own,verdict,represented
deepseek__deepseek-v4-pro-0813__rep01,deepseek/deepseek-v4-pro-0813,1,0,0,25,,False,"Human genome editing refers to a set of technologies, most notably CRISPR-Cas9, that allow scientists to make precise changes to the DNA of living cells.",0.6582337,0.66717535,0.6879489,0.6809377,0.66784155,0.6312018,-0.07317617468652318,0.09116706236090974,0.19903563404368468,-0.0017934206363861534,0.06800566530582733,-0.08326167724299012,C,0.19903563404368468,reported,True
deepseek__deepseek-v4-pro-0813__rep01,deepseek/deepseek-v4-pro-0813,1,0,1,60,"Human genome editing refers to a set of technologies, most notably CRISPR-Cas9, that allow scientists to make precise changes to the DNA of living cells.",False,"In the context of human health, a crucial distinction is often drawn between somatic editing, which alters non-reproductive cells in a patient’s body and affects only that individual, and germline or heritable editing, which changes the DNA of embryos, eggs, sperm or the cells that give rise to them, so that the alteration can be passed on to future generations.",0.6430094,0.6792278,0.68819,0.7043637,0.694949,0.66357917,-0.36007306828687435,0.11435614903166423,-0.4892000853127683,0.04500028565089447,-0.3902097658457933,-0.609435799314815,D,0.04500028565089447,reported,True
deepseek__deepseek-v4-pro-0813__rep01,deepseek/deepseek-v4-pro-0813,1,0,2,40,"In the context of human health, a crucial distinction is often drawn between somatic editing, which alters non-reproductive cells in a patient’s body and affects only that individual, and germline or heritable editing, which changes the DNA of embryos, eggs, sperm or the cells that give rise to them, so that the alteration can be passed on to future generations.",True,"This distinction shapes much of the ethical and regulatory debate, because somatic editing is generally seen as an extension of existing gene therapy, while germline editing raises deeper questions about inheritance, consent and the future of the human gene pool.",0.69778067,0.7505914,0.75548327,0.75105196,0.7504359,0.7329867,-1.3903875437157696,-0.14642340876016532,1.8185918980016142,-0.4136133329098811,-1.3469738550120383,-1.0509866366817733,C,1.8185918980016142,aligned,True
deepseek__deepseek-v4-pro-0813__rep01,deepseek/deepseek-v4-pro-0813,1,1,0,12,,False,"For many people, the primary hope of human genome editing is medical.",0.72973907,0.70661974,0.717583,0.7379877,0.6879059,0.6703091,3.39842648797785,4.190170985623264,-1.033472971594893,1.4407194727973542,1.959085025329841,2.07478343466646,D,1.4407194727973542,aligned,True
deepseek__deepseek-v4-pro-0813__rep01,deepseek/deepseek-v4-pro-0813,1,1,1,40,"For many people, the primary hope of human genome editing is medical.",False,"Families affected by serious inherited conditions such as cystic fibrosis, Huntington’s disease, Tay-Sachs disease, sickle cell anaemia or certain forms of inherited cancer see in these tools the possibility of correcting the underlying genetic cause rather than merely managing symptoms.",0.5623519,0.5610611,0.5774137,0.61298686,0.5329171,0.5728267,1.1185911354026754,4.644631908711745,2.838851766125299,5.230704903206787,5.946147150610341,4.537561742070828,D,5.230704903206787,aligned,True
deepseek__deepseek-v4-pro-0813__rep01,deepseek/deepseek-v4-pro-0813,1,1,2,24,"Families affected by serious inherited conditions such as cystic fibrosis, Huntington’s disease, Tay-Sachs disease, sickle cell anaemia or certain forms of inherited cancer see in these tools the possibility of correcting the underlying genetic cause rather than merely managing symptoms.",False,"Somatic gene editing trials are already underway for blood disorders, some forms of blindness and certain cancers, and early results have generated cautious optimism.",0.6291375,0.6374464,0.6331697,0.64730525,0.6092266,0.600619,1.8295606716594197,3.9121007521171127,-1.008016636094544,3.367812958260766,2.0397502535954124,2.084835225332063,D,3.367812958260766,aligned,True
deepseek__deepseek-v4-pro-0813__rep01,deepseek/deepseek-v4-pro-0813,1,1,3,26,"Somatic gene editing trials are already underway for blood disorders, some forms of blindness and certain cancers, and early results have generated cautious optimism.",False,Parents who carry a known genetic mutation may hope that germline editing could allow them to have a biologically related child without passing on that condition.,0.6303778,0.63530785,0.6531375,0.6600523,0.63659936,0.6447247,0.33548814791720355,2.473787623789394,0.9380350838997401,3.590768946951721,1.2978072102996525,3.2794538884307256,D,3.590768946951721,aligned,True
deepseek__deepseek-v4-pro-0813__rep01,deepseek/deepseek-v4-pro-0813,1,1,4,26,Parents who carry a known genetic mutation may hope that germline editing could allow them to have a biologically related child without passing on that condition.,False,"Researchers and clinicians often frame this work in terms of compassion, the relief of suffering, and the moral duty to use knowledge to prevent serious disease.",0.6143559,0.5612087,0.6084251,0.63740575,0.5441371,0.58260375,1.7119958900206254,1.2646253248152792,-0.0733610253781081,3.04218784836703,0.415669843449723,1.0561996922071557,D,3.04218784836703,aligned,True
deepseek__deepseek-v4-pro-0813__rep01,deepseek/deepseek-v4-pro-0813,1,1,5,26,"Researchers and clinicians often frame this work in terms of compassion, the relief of suffering, and the moral duty to use knowledge to prevent serious disease.",False,"From this perspective, refusing to develop safe and effective editing technologies could be seen as withholding a potentially life-changing therapy from people who desperately need it.",0.636858,0.6422612,0.67044795,0.6572579,0.63821816,0.6403643,3.0184409989975403,4.218167025316508,3.411930458829738,3.81947677852586,2.5540062037762254,1.3973325110971926,C,3.411930458829738,aligned,True
deepseek__deepseek-v4-pro-0813__rep01,deepseek/deepseek-v4-pro-0813,1,2,0,12,,False,Yet alongside these hopes sit significant concerns about safety and unintended consequences.,0.57115626,0.6100633,0.60728884,0.5709129,0.5859141,0.55481035,-2.151759463176131,-0.2342287808161927,4.860910232318566,2.4905760472640397,1.265311968434252,-0.3208163079136284,B,-0.2342287808161927,reported,True
