run_id,model,repetition,paragraph_index,n_words,text,sim_A,sim_B,sim_C,sim_D,top_discourse,top_similarity,runner_up_margin,assigned,assigned_centred
deepseek__deepseek-v4-pro-0813__rep01,deepseek/deepseek-v4-pro-0813,1,0,125,"Human genome editing refers to a set of technologies, most notably CRISPR-Cas9, that allow scientists to make precise changes to the DNA of living cells. In the context of human health, a crucial distinction is often drawn between somatic editing, which alters non-reproductive cells in a patient’s body and affects only that individual, and germline or heritable editing, which changes the DNA of embryos, eggs, sperm or the cells that give rise to them, so that the alteration can be passed on to future generations. This distinction shapes much of the ethical and regulatory debate, because somatic editing is generally seen as an extension of existing gene therapy, while germline editing raises deeper questions about inheritance, consent and the future of the human gene pool.",0.7460818,0.76546276,0.72782856,0.72444326,B,0.76546276,0.019380927,B,B
deepseek__deepseek-v4-pro-0813__rep01,deepseek/deepseek-v4-pro-0813,1,1,154,"For many people, the primary hope of human genome editing is medical. Families affected by serious inherited conditions such as cystic fibrosis, Huntington’s disease, Tay-Sachs disease, sickle cell anaemia or certain forms of inherited cancer see in these tools the possibility of correcting the underlying genetic cause rather than merely managing symptoms. Somatic gene editing trials are already underway for blood disorders, some forms of blindness and certain cancers, and early results have generated cautious optimism. Parents who carry a known genetic mutation may hope that germline editing could allow them to have a biologically related child without passing on that condition. Researchers and clinicians often frame this work in terms of compassion, the relief of suffering, and the moral duty to use knowledge to prevent serious disease. From this perspective, refusing to develop safe and effective editing technologies could be seen as withholding a potentially life-changing therapy from people who desperately need it.",0.7986377,0.8037777,0.7796459,0.76164055,B,0.8037777,0.0051400065,B,A
deepseek__deepseek-v4-pro-0813__rep01,deepseek/deepseek-v4-pro-0813,1,2,139,"Yet alongside these hopes sit significant concerns about safety and unintended consequences. Genome editing is not always perfectly precise; it can cause off-target changes elsewhere in the genome, and in embryos there is a risk of mosaicism, where some cells carry the edit and others do not. For germline editing, any mistake would not only affect the individual born from that embryo but could be inherited by their children and grandchildren. Because the effects may not become apparent for decades, some scientists and ethicists argue that heritable editing should not proceed until there is far stronger evidence of safety and long-term outcomes. This precautionary stance values humility in the face of complex biological systems and warns against irreversible interventions made under uncertainty. Even proponents of somatic editing often support a moratorium or strict limits on germline editing for reproduction.",0.78653795,0.7573633,0.77252614,0.77028644,A,0.78653795,0.0140118,A,A
deepseek__deepseek-v4-pro-0813__rep01,deepseek/deepseek-v4-pro-0813,1,3,174,"A further set of perspectives comes from people with disabilities and their advocates. Many worry that the drive to edit out genes associated with disability sends a powerful message that disabled lives are less valuable or less worth living. Conditions such as deafness, achondroplasia or Down syndrome are sometimes experienced by individuals and communities not simply as medical problems but as part of their identity, culture or community. From this viewpoint, the problem is not the genetic difference itself but a society that fails to accommodate and include people with diverse bodies and minds. There is concern that widespread genetic editing could revive eugenic thinking, pressuring parents to select or engineer children who fit narrow norms of health and ability. The value of inclusion, the dignity of every person, and the right of disabled people to flourish are central to this critique. Others respond that parents can both love their existing disabled child and still wish to prevent future children from experiencing pain or premature death, and that not all genetic conditions are identity-forming.",0.71139735,0.7943666,0.74555093,0.7098756,B,0.7943666,0.048815668,B,B
deepseek__deepseek-v4-pro-0813__rep01,deepseek/deepseek-v4-pro-0813,1,4,144,"Equity and justice are also prominent themes. If genome editing becomes available as a medical service, it is likely to be expensive, at least initially. In Australia, although Medicare and the public hospital system provide many services, assisted reproductive technologies and genetic testing are often only partially subsidised, and access can depend on income, location and private health insurance. There is a real risk that the benefits of editing would flow disproportionately to the wealthy, widening existing health inequalities. Globally, the picture is even starker: some countries may permit heritable editing while others prohibit it, leading to cross-border reproductive travel and uneven safety standards. A just approach, many argue, would require not only strict regulation but also attention to fair access, public funding for therapies that address serious diseases, and measures to prevent discrimination against people who are unedited or who carry genetic differences.",0.7051034,0.74942195,0.6839803,0.6741208,B,0.74942195,0.044318557,B,B
deepseek__deepseek-v4-pro-0813__rep01,deepseek/deepseek-v4-pro-0813,1,5,115,"Beyond therapy lies the contested territory of enhancement. The same tools that might correct a disease-causing mutation could in principle be used to alter non-medical traits such as height, muscle mass, cognitive ability or appearance. Some people see no sharp line between treating disease and enhancing human capacities; they argue that parents already shape their children’s development through education, nutrition and other choices, and that genetic enhancement could be a legitimate expression of reproductive freedom or a way to improve human wellbeing. Others fear that enhancement would commodify children, intensify social competition, and erode acceptance of human limitations and diversity. The distinction between therapy and enhancement is often blurry, and this ambiguity makes regulation difficult.",0.6942735,0.7044163,0.6715916,0.67851746,B,0.7044163,0.010142803,B,A
deepseek__deepseek-v4-pro-0813__rep01,deepseek/deepseek-v4-pro-0813,1,6,123,"The question of consent and future generations is especially acute for heritable editing. An embryo cannot consent to having its genome altered, and the people who will be born from edited embryos will have had no say in a decision that shapes their genetic inheritance. Some philosophers argue that this makes germline editing inherently unethical, because it violates the autonomy of future persons. Others reply that parents routinely make irreversible decisions for their children, and that preventing a serious genetic disease is clearly in a child’s best interests. Still, the intergenerational dimension raises profound questions about our responsibility to future humans and whether we should treat the human genome as a common heritage to be preserved or as a resource to be improved.",0.78323054,0.81197476,0.780771,0.7564437,B,0.81197476,0.02874422,B,B
deepseek__deepseek-v4-pro-0813__rep01,deepseek/deepseek-v4-pro-0813,1,7,117,"Religious, cultural and Indigenous perspectives add further layers. Some religious traditions regard the human genome as sacred or as a gift from God, and view deliberate alteration of the germline as overstepping human authority. Others emphasise the calling to heal the sick and may support somatic editing while opposing heritable changes. In Australia, Aboriginal and Torres Strait Islander peoples have distinct understandings of kinship, ancestry and the connection between genetic inheritance and Country, and any discussion of genome editing should be attentive to these worldviews and to the history of eugenic policies that have harmed Indigenous communities. A pluralist democracy must make room for these diverse moral languages rather than assuming a single secular or utilitarian framework.",0.76752585,0.77854776,0.7693699,0.72595346,B,0.77854776,0.009177864,B,C
deepseek__deepseek-v4-pro-0813__rep01,deepseek/deepseek-v4-pro-0813,1,8,137,"Finally, the regulatory landscape is itself a subject of debate. In Australia, human cloning and certain practices involving human embryos are prohibited under federal legislation, and the National Health and Medical Research Council issues guidelines for research. Heritable genome editing for reproduction is currently not permitted. Some argue these laws are appropriately cautious and should remain; others believe they are outdated and hinder valuable research that could be done on embryos in the laboratory without intending pregnancy. International bodies such as the World Health Organization have called for robust governance and a global registry of editing research, but enforcement remains uneven. The citizens’ assembly will need to weigh the values of scientific freedom, therapeutic benefit, safety, justice, respect for diversity and the precautionary principle as it considers what, if anything, should change in Australian law and policy.",0.7013402,0.70427436,0.69092,0.6582551,B,0.70427436,0.0029341578,B,A
deepseek__deepseek-v4-pro-0813__rep02,deepseek/deepseek-v4-pro-0813,2,0,61,"Human genome editing raises questions that touch on medicine, ethics, justice, disability, faith and the kind of society Australians want to build. This report is intended to help assembly participants see the broad landscape of views before deliberation begins. It does not argue for a particular outcome, but rather maps the hopes, concerns and values that people bring to this conversation.",0.8018875,0.8381212,0.78836715,0.76872736,B,0.8381212,0.036233664,B,B
