statement_id,item,A,B,C,D,E,F
1,Mitochondrial donation doesn't fundamentally change our genetics should be viewed like any other organ transplant.,0.4,1.8,-0.9,-0.8,0.7,0.4
2,It's a slippery slope from genome editing for medical reasons to using it for other reasons.,-0.8,1.5,1.3,0.7,-0.1,1.1
3,Parents and guardians have a right to edit the genes of their children before they are born.,0.8,-0.5,-1.5,0.7,-1.0,1.5
4,Parents want 'designer babies' with certain traits out of vanity.,0.1,0.0,0.6,0.9,-1.2,0.4
5,I'm concerned that genome editing will lead to a reduction in genetic diversity.,-0.6,-1.3,0.6,-0.6,-0.5,-0.8
6,I think it would be amazing to have a choice in the way someone behaves.,0.0,-1.7,-1.3,-2.1,-1.8,0.0
7,The idea that gene editing can make perfect people and societies is extremely dangerous.,-0.4,0.9,1.4,0.9,1.4,0.0
8,I think it's okay to use genome editing to change someone's appearance.,0.3,-1.6,-2.0,-0.8,-1.9,0.0
9,I'm concerned that gene editing will be used as a quick techno-fix without actually dealing with real problems.,-0.7,-0.9,0.7,-0.3,0.5,0.8
10,"My concern is that as we start to tinker with the genome, we're going to accidentally introduce a whole host of other problems.",0.4,1.1,1.3,0.6,-0.3,1.1
11,"If this technology is available then it should be available to everyone who needs it, not just those who can afford it.",1.2,1.7,0.0,1.4,2.2,-0.4
12,I'm worried that genetic technology will widen the gap between those who can afford it and those who can't,0.3,1.7,0.7,0.3,0.7,-0.8
13,If we open the box of genome editing we will not know where to draw the line.,-0.4,-0.2,1.3,-0.1,-0.6,0.8
14,I am concerned that the use of genome editing will advantage one group over another.,0.2,1.0,1.6,0.0,-0.1,0.8
15,Decisions about the use of genome editing are best left to the experts.,-0.4,-0.6,-0.9,1.3,0.4,1.9
16,"If genome editing works, the future will be like a dystopian movie.",-2.0,-0.6,0.2,1.0,0.6,-0.4
17,Genome editing is really cool science.,1.5,1.7,0.0,0.9,1.0,1.5
18,The real aim of genome editing will be enhancement for wealthy people.,-0.3,0.1,0.6,-0.5,-0.9,0.8
19,I have a very different feeling about gene editing in humans than I do for animals or plants,0.1,-1.1,-1.2,-0.2,-0.4,0.0
20,Editing genes that will be inherited is problematic because it means making decisions for future people who don't exist yet.,-0.2,-0.6,0.7,-0.7,-0.3,-1.1
21,My cultural beliefs make me cautious about genome editing.,-1.1,-1.1,0.1,-0.3,-1.4,-1.9
22,When you change someone's genes you are fundamentally changing who they are.,-1.3,-0.8,0.4,-0.2,-0.9,-1.5
23,Genome editing in agriculture will have the biggest impact on people's health.,-0.2,-1.2,0.1,-0.9,-0.4,-1.1
24,Anything that's been artificially created in a lab gives me Frankenstein vibes.,-1.6,-1.2,-0.3,-0.8,-1.1,-1.9
25,I worry that something will go terribly wrong with this technology.,-0.2,0.6,1.2,0.2,-0.2,0.0
26,It's better to prevent a disease from happening rather than it happening and then having to treat it.,1.4,0.8,-0.5,1.8,1.2,1.5
27,The idea that people with genetic conditions might get cured in my lifetime is miraculous and incredible!,1.9,1.3,0.3,1.7,0.6,1.9
28,Genome editing technologies gives us power over human life itself.,-0.8,0.0,0.4,-0.2,-1.4,0.0
29,It makes me sick to hear that genome editing will 'cure' disability.,0.2,0.0,-0.2,-0.5,-1.2,-1.1
30,I would be OK with using genome editing to speed up evolution.,0.9,-0.3,-1.4,-0.4,-1.1,-0.8
31,"As a society, we have an obligation to help strengthen coming generations by eradicating diseases.",1.7,0.6,-0.1,1.2,1.3,1.1
32,We find strength when we face illness and adversity. It makes us who we are.,1.0,1.1,1.4,-1.2,1.5,-0.4
33,"If genome editing is proven to be safe, then I see no reason to oppose it.",1.4,0.1,-1.0,1.2,0.9,-1.1
34,It is better to accept our genes the way they are than to tamper with things we don't understand.,-0.5,-1.3,0.4,-1.5,-0.5,-1.5
35,I would strongly consider using genome editing for my children if it could safely give them an advantage in life.,-0.3,0.3,-1.7,-1.2,-1.1,0.4
36,I don't think we know enough about genetic diseases or the long-term consequences of genome editing,0.5,1.1,0.5,1.4,-0.2,0.0
37,I think we should keep an open mind about new discoveries.,1.7,1.4,0.7,1.1,0.7,0.8
38,I would be OK with having my own genome edited.,1.4,0.1,-1.8,-1.0,0.6,0.4
39,Each individual has a right to decide for themselves whether to undergo gene editing.,0.4,-0.4,-0.2,-0.2,1.4,1.1
40,Interfering in people's genes is intervening a bit too far in human creation.,-1.9,-1.3,0.2,-1.3,0.3,-1.5
41,I admit that the idea of editing the human genome is a bit scary.,-1.4,-0.3,0.3,-0.3,-0.1,-0.4
42,The use of gene editing for non-medical reasons reminds me of the Nazis during the Second World War.,-1.5,-0.5,-0.4,-0.3,1.2,-0.4
43,Science and technology are controlling our lives.,-0.8,-0.7,-0.5,-1.5,0.4,-0.8
44,I believe that future humans will need genome editing to survive.,-1.0,-0.5,-2.3,-1.2,-0.6,0.4
45,I believe we should remain as natural as possible but we should not shy away from furthering medicine and the chance to save lives.,0.4,-0.1,1.3,1.7,1.7,-0.8
